"director","gross"
"James Bobin",77.04
"Sam Raimi",18.64
"Dee Rees",0.76
"Randal Kleiser",188.76
"Chris Sanders",187.17
"Tim Burton",37.77
"Steven R. Monroe",0
"Travis Fine",0.2
"Rob Reiner",2.47
"Peter Berg",125.1
"Keith Fulton",0
"Wilson Yip",2.68
"Xavier Gens",0.02
"Josh Gordon",54.77
"Mamoru Oshii",1.04
"Stuart Hazeldine",57.39
"F. Gary Gray",26.18
"Amma Asante",3.9
"Robin Bissell",10.21
"Alex Lehmann",0.01
"Joe Russo",408.08
"Leslie Small",23.59
"Joe Swanberg",0.34
"Genndy Tartakovsky",167.51
"Partho Sen-Gupta",0
"Taika Waititi",5.2
"Benson Lee",0.02
"Eric England",0
"Jason Wise",0.17
"Greg Tiernan",97.69
"Craig Teper",0.09
"Joe Carnahan",35.66
"Kirk Wise",504.01
"Jamal Hill",0.44
"Gary Trousdale",504.01
"Phil Vischer",25.58
"Hanelle M. Culpepper",4.72
"Zack Snyder",330.36
"Daniel Mann",16
"James D. Scurlock",0.06
"Jordan Vogt-Roberts",168.05
"Paul W.S. Anderson",26.83
"Whit Stillman",1.01
"Seán Ó Cualáin",0
"Stefan Ruzowitzky",0.02
"Malik Bader",0.28
"Lana Wilson",0.07
"Jeremy Saulnier",3.22
"Chris Kelly",0.09
"Kriv Stenders",0.02
"Quentin Tarantino",70.1
"Trish Sie",14.9
"Woody Allen",56.82
"Robert Zemeckis",100.92
"Bob Yari",1.12
"Cary Joji Fukunaga",0.08
"Jesse V. Johnson",0.08
"Peter Hyams",0.03
"Mark Rosman",51.44
"Muriel Coulin",0.02
"Kevin Phillips",0.03
"Paul Haggis",21.15
"George Butler",10.4
"Jeffrey Friedman",0.62
"Danny Boyle",18.34
"Scott Hicks",60.46
"Louis Pepe",0
"Jacques Audiard",2.06
"Jeremy Seifert",0.04
"Yoshihiro Nishimura",0.02
"Anders Morgenthaler",0.02
"Ryon Baxter",0
"Jonathan Levine",43.04
"Alejandro G. Iñárritu",183.64
"Joel Schumacher",92.12
"Niels Arden Oplev",10.88
"Christoph Schrewe",4.56
"Peter Mortimer",1.08
"Jalmari Helander",0.02
"Ernesto Díaz Espinoza",0.02
"Chris Bouchard",7.15
"Coralie Fargeat",0.1
"St. Vincent",0.03
"Pat Healy",0
"Dan Sturman",0.16
"Mark Dindal",89.3
"Peter Jackson",303
"John Crowley",38.32
"Tim Story",21.36
"Alejandro G. Iñárritu",42.34
"Michael Rossato-Bennett",0.15
"Dan Mazer",35.59
"Kôji Morimoto",0.04
"Nora Twomey",0.31
"Norman Ferguson",1.6
"Marcus Nispel",21.3
"Jay Lavender",2.83
"Justin Kurzel",1.11
"Stanley Kubrick",30
"Victor Salva",2.24
"Jehane Noujaim",0.12
"Robert Luketic",96.52
"Rob Cohen",6.12
"Tom Hooper",11.11
"Bill Guttentag",0.16
"Terry Jones",20.05
"Joe Johnston",181.17
"Jake Kasdan",316.83
"David Zucker",32.02
"Alessandro Carloni",143.53
"Aaron Moorhead",0
"Bruno Forzani",0.02
"Stephen Williams",4.72
"John Pogue",0.12
"Todd Strauss-Schulson",48.79
"Daniel Espinosa",1.21
"Joachim Trier",0.15
"Nicholas DiBella",0.09
"Martin Scorsese",28.26
"Ava DuVernay",0.08
"Wilfred Jackson",1.6
"Gurinder Chadha",1.11
"Noboru Iguchi",0.02
