director_id,movie_id,person_id
741,686,-
742,687,-
743,688,4126
744,689,10391
745,6,3223
746,691,9289
747,692,3704
748,693,1425
749,694,-
7,695,9243
751,696,6469
752,697,-
753,698,-
754,699,15557
755,7,14975
756,701,-
757,702,-
758,703,6918
759,704,-
7,705,1015
761,706,-
762,707,3924
763,708,-
764,709,2379
765,7,14131
766,711,-
767,712,-
768,713,7039
769,714,9035
7,715,2746
771,5455,2746
772,716,20
773,717,-
774,718,-
775,719,-
776,7,-
777,721,-
778,722,-
779,723,3984
7,723,16027
781,724,7
782,725,-
783,726,-
784,727,9236
785,727,7692
786,728,18919
787,729,-
788,7,18612
789,731,-
7,732,12988
791,733,-
792,734,-
793,735,-
794,736,14106
795,737,20102
796,738,622
797,739,20
798,7,-
799,741,1537
8,1864,1537
801,742,15995
802,743,10608
803,744,11846
804,745,149
805,746,2288
806,747,7215
807,747,15854
808,748,5093
809,749,-
8,7,6147
811,751,-
812,752,16498
813,753,-
814,754,1082
815,755,-
816,756,-
817,757,6754
818,758,15598
819,1652,15598
8,759,-
821,7,16548
822,761,19872
823,762,11375
824,763,10736
825,764,7039
826,765,19859
827,766,12924
828,767,-
829,768,1873
8,769,20762
831,7,-
832,771,17556
833,772,8481
834,773,2516
835,774,10955
836,775,13258
837,776,21036
838,777,208
839,778,-
8,779,-
841,7,15811
842,781,11905
843,782,-
844,783,-
845,784,2355
846,785,13549
847,786,-
848,787,-
849,788,-
8,789,9468
851,7,6113
852,791,182
853,792,12961
854,793,10588
855,794,18524
856,795,3704
857,796,12247
858,796,16055
859,796,204
8,796,3566
861,796,6171
862,796,125
863,796,535
864,796,15547
865,796,6842
866,796,20163
867,796,4693
868,797,-
869,798,-
8,799,-
871,8,19578
872,801,13458
873,802,17176
874,803,-
875,1312,-
876,804,-
877,805,-
878,806,-
879,807,309
8,808,20252
881,809,11488
882,8,13117
883,811,19648
884,812,17552
885,812,2847
886,813,-
887,814,-
888,815,-
889,816,-
8,817,-
891,818,14069
892,819,10942
893,8,-
894,821,-
895,822,19095
896,823,-
897,824,-
898,825,14992
899,826,-
9,827,-
901,828,-
902,829,-
903,8,10701
904,831,-
905,832,-
906,833,4069
907,833,17757
908,834,13458
909,835,4126
9,836,9308
911,836,8624
912,837,18883
913,838,-
914,839,-
915,8,-
916,841,-
917,842,151
918,843,13271
919,844,761
9,845,-
921,846,15854
922,846,17749
923,847,-
924,848,-
925,849,-
926,8,-
927,851,-
928,852,3691
929,852,6906
9,853,18292
931,854,-
932,855,12986
933,856,-
934,857,-
935,858,-
936,859,15763
937,859,1262
938,8,-
939,861,1537
9,862,-
941,863,10613
942,864,-
943,1871,-
944,865,11341
945,866,-
946,867,-
947,868,10895
948,869,18499
949,8,-
9,871,13458
951,872,3619
952,873,12654
953,874,130
